Word,Part_of_Speech,Audio,Photos
brazo,noun,brazo.ogg,arm.jpg
fuerzas armadas,noun,fuerzas-armadas.ogg,soldiers.jpg
arte,noun,arte.ogg,wall-art-spray-graffiti-woman.jpg
artista,noun,artista.ogg,artist.jpg
autor,noun,autor.ogg,writer-typewriter-author-blogging.jpg
bebé,noun,bebe.ogg,baby.jpg
espalda,noun,espalda.ogg,sea-ocean-water-wave-nature-beach.jpg
bolsa,noun,bolsa.ogg,bag-classic-leather-messenger.jpg
pelota,noun,pelota.ogg,beach-ball.svg
banano,noun,banano.ogg,banana.png
banda,noun,banda.ogg,Lake-Malawi-music-band.jpg
banco,noun,banco.ogg,bank-building.jpg
bar,noun,bar.ogg,alcoholic-beverages-bar.jpg
baño,noun,banxo.ogg,bathroom.jpg
playa,noun,playa.ogg,beach-dominican-republic-caribbean.jpg
barba,noun,barba.ogg,beard-face-man-model-mustache.jpg
cama,noun,cama.ogg,bed.png
dormitorio,noun,dormitorio.ogg,bedroom.jpg
carne de res,noun,carne de res.ogg,meat-beef.jpg
cerveza,noun,cerveza.ogg,craft-beer.jpg
bebida,noun,bebida.ogg,beach-beverage.jpg
bicicleta,noun,bicicleta.ogg,old-bicycle.jpg
factura,noun,factura.ogg,pay-bill-restaurant.jpg
pájaro,noun,pajaro.ogg,bird-spring-robin.jpg
sangre,noun,sangre.ogg,blood-cells-red.jpg
barco,noun,barco.ogg,sunrise-boat-rowing.jpg
cuerpo,noun,cuerpo.ogg,anatomy-man-human-body.jpg
hueso,noun,hueso.ogg,bone-dog.svg
libro,noun,libro.ogg,book-old.jpg
botella,noun,botella.ogg,water-bottle.jpg
fondo,noun,fondo.ogg,"beer-bottle-bottom.jpg, sea-bottom.jpg"
caja,noun,caja.ogg,container-open-box-fragile.svg
chico,noun,chico.ogg,cap-boy-smile.jpg
celebro,noun,celebro.ogg,brain-anatomy.png
pan,noun,pan.ogg,bread-multigrain.jpg
desayuno,noun,desayuno.ogg,breakfast-hotel-buffet.jpg
puente,noun,puente.ogg,golden-gate-bridge.jpg
hermano,noun,hermano.ogg,brothers-family-siblings.jpg
edificio,noun,edificio.ogg,appartment-building.jpg
bus,noun,bus.ogg,london-britain-bus-red-city.jpg
pastel,noun,pastel.ogg,piece-of-cake.jpg
cámera,noun,camera.ogg,camera-vintage.jpg
campamento,noun,campamento.ogg,camping-tent-fire-summer-outdoors.jpg
carro,noun,carro.ogg,car-audi-auto.jpg
carta,noun,carta.ogg,"playing-cards.jpg, credit-card.jpg"
gato,noun,gato.ogg,cat-sweet-kitty.jpg
techo (raso),noun,techo.ogg,church-ceiling.jpg
teléfono celular,noun,teléfono celular.ogg,iphone-smartphone.jpg
centimetro,noun,centimetro.ogg,measure-centimeter.jpg
silla,noun,silla.ogg,chair-furniture-seat.png
queso,noun,queso.ogg,cheese.jpg
pollo,noun,pollo.ogg,"chicken-poultry.jpg, fried-chicken.jpg"
niño,noun,ninxo.ogg,"boy-red-hair-freckles-portrait.jpg, child-portrait-girl.jpg"
iglesia,noun,iglesia.ogg,church-snow-winter.jpg
círculo,noun,circulo.ogg,circle-color.png
ciudad,noun,ciudad.ogg,new-york-city-skyline.jpg
arcilla,noun,arcilla.ogg,"pottery-handmade-cup.jpg, clay-hands-sculpting-art.jpg"
reloj,noun,reloj.ogg,alarm-clock.jpg
ropa,noun,ropa.ogg,store-clothing.jpg
club,noun,club.ogg,"dance-party-disco.jpg, golf-club.jpg, club-weapon.svg"
abrigo,noun,abrigo.ogg,coat-clothing-long.svg
café,noun,cafe.ogg,coffee-cup-beans.jpg
color,noun,color.ogg,beaded-colour-pencils.jpg
computadora,noun,computadora.ogg,computer-desktop-workstation.svg
contrato,noun,contrato.ogg,business-signature-contract.jpg
cobre,noun,cobre.ogg,copper-cookware.jpg
maíz,noun,maiz.ogg,corn.jpg
esquina,noun,esquina.ogg,"wall-corner.svg, football-corner.jpg"
país,noun,pais.ogg,"europe-map-country.jpg, canada-national-flag.jpg"
tribunal,noun,tribunal.ogg,"supreme-court-building-court.jpg, gavel-law.jpg"
vaca,noun,vaca.ogg,cow.jpg
gentía,noun,gentixa.ogg,city-crowd.jpg
taza,noun,taza.ogg,tea-cup.jpg
fecha,noun,fecha.ogg,calendar-date.jpg
hija,noun,hija.ogg,father-daughter-smile.jpg
día,noun,dixa.ogg,"day-blue-sky.jpg, day-of-week.png"
muerte,noun,muerte.ogg,man-skull-death.jpg
dimante,noun,dimante.ogg,diamond.jpg
cena,noun,cena.ogg,dinner-table.jpg
enfermedad,noun,enfermedad.ogg,"virus-infection-cell-bacterium.jpg, sad-sick.svg"
médico,noun,medico.ogg,doctor-gray-hair.jpg
perro,noun,perro.ogg,dog-beach-pet-black.jpg
puerta,noun,puerta.ogg,door.jpg
punto,noun,punto.ogg,"dot.png, background-bow-color-dot.jpg"
vestido,noun,vestido.ogg,dress.svg
droga,noun,droga.ogg,"syringe-pill-capsule-morphine.jpg, seedling-cannabis-marijuana.jpg"
polvo,noun,polvo.ogg,"horse-herd-dust.jpg, construction-worker-saw-concrete-dust.jpg"
oído,noun,oído.ogg,ear.jpg
tierra,noun,tierra.ogg,"planet-earth.jpg, onion-arable-field-earth.jpg"
Este,noun,Este.ogg,"compass-gold.png, arrow-right-direction-east.svg"
bordillo,noun,bordillo.ogg,edge-height-depth.jpg
huevo,noun,huevo.ogg,egg.svg
energía,noun,energia.ogg,"flash-thunderstorm.jpg, wind-farm-wind-energy.jpg"
motor,noun,motor.ogg,restored-air-cool-engine.jpg
tarde,noun,tarde.ogg,dult-mother-daughter-beach.jpg
ejercicio,noun,ejercicio.ogg,gym-room-fitness-equipment.jpg
ojo,noun,ojo.ogg,blue-eye-iris-pupil.jpg
cara,noun,cara.ogg,woman-portrait-face-skin-make-up.jpg
otoño,noun,otonxo.ogg,"forest-season-autumn-fall.jpg, season-winter-spring-summer-fall.png"
familia,noun,familia.ogg,family-kids-baby-newborn-together.jpg
hincha,noun,hincha.ogg,sport-ice-hockey-fan.jpg
ventilador,noun,ventilador.ogg,appliance-cool-electric-fan.svg
granja,noun,granja.ogg,wisconsin-farm-country-rural.jpg
padre,noun,padre.ogg,people-father-daughter-smile-happy.jpg
dedo,noun,dedo.ogg,hand-finger.png
fuego,noun,fuego.ogg,wood-fire-flame-burn.jpg
pez,noun,pez.ogg,discus-fish-fauna.jpg
piso,noun,piso.ogg,floor-wood-hardwood.jpg
flor,noun,flor.ogg,flower-nature-flora-petal.jpg
comida,noun,comida.ogg,healthy-food.jpg
pie,noun,pie.ogg,foot-baby.jpg
bosque,noun,bosque.ogg,green-park-season-nature.jpg
tenedor,noun,tenedor.ogg,fork-eat-metal.jpg
amigo,noun,amigo.ogg,girls-lying-classic-car-young.jpg
juego,noun,juego.ogg,board-game.jpg
jardin,noun,jardin.ogg,garden-flower.jpg
gasolina,noun,gasolina.ogg,petrol-stations-gasoline.jpg
regalo,noun,regalo.ogg,present-package-gift.jpg
chica,noun,chica.ogg,little-girl-child-portrait.jpg
vidrio,noun,vidrio.ogg,glass-drink-water.jpg
Dios,noun,Dios.ogg,"poseidon-sea.jpg, fantasy-light.jpg"
helados,noun,helados.ogg,ice_cream.jpg
oro,noun,oro.ogg,gold-ingots.jpg
abuelo,noun,abuelo.ogg,grandfather-granddaughter.jpg
abuela,noun,abuela.ogg,grandma-granny.png
hierba,noun,hierba.ogg,ew-morning-meadow-grass.jpg
piso,noun,piso.ogg,ground-cobblestone-manhole.jpg
arma,noun,arma.ogg,handgun-weapon.svg
pelo,noun,pelo.ogg,beautiful-woman-hair-blond.jpg
mano,noun,mano.ogg,hand-photography-palm.jpg
sombrero,noun,sombrero.ogg,sun-hat.jpg
cabeza,noun,cabeza.ogg,actress-beauty-face-girl-head.svg
corazón,noun,corazon.ogg,heart-love-red.svg
calor,noun,calor.ogg,firewood-fire.jpg
cielo,noun,cielo.ogg,clouds-landscape-beyond-sky.jpg
inferno,noun,inferno.ogg,hell-demons-devil.jpg
colina,noun,colina.ogg,tree-grass-landscape-panorama.jpg
hueco,noun,hueco.ogg,hole-sinkhole.jpg
hogar,noun,hogar.ogg,house-cottage-residence.png
caballo,noun,caballo.ogg,horse-mold-thoroughbred.jpg
hospital,noun,hospital.ogg,hospital_Japan.jpg
hotel,noun,hotel.ogg,"hotel-pool-evening.jpg, hotelroom.jpg"
hora,noun,hora.ogg,clock-analog-time-watch.svg
casa,noun,casa.ogg,architecture-family-house.jpg
ser húmano,noun,ser-humano.ogg,first-human.jpg
marido,noun,marido.ogg,couple-man-woman-relationship.svg
hielo,noun,hielo.ogg,ice.jpg
imagen,noun,imagen.ogg,"mona-lisa-painting-art.jpg, smartphone-face-woman-eyes.jpg"
hérida,noun,herida.ogg,kermit-injured-patch.jpg
idea,noun,idea.ogg,think-thinking-hand-reflect-idea.png
instrumento,noun,instrumento.ogg,guitar-violin-bow.svg
isla,noun,isla.ogg,island.jpg
jugo,noun,jugo.ogg,orange-juice.jpg
lleve,noun,lleve.ogg,key.jpg
rey,noun,rey.ogg,king-crown-beard.svg
cocina ,noun,cocina .ogg,kitchen-real-estate-interior-design.jpg
rodilla,noun,rodilla.ogg,knee.jpg
cuchillo,noun,cuchillo.ogg,knife-kitchen-sharp.svg
lago,noun,lago.ogg,lake-irene-colorado-water.jpg
lámpara,noun,lampara.ogg,table-lamp.png
portátil,noun,portatil.ogg,mac-freelancer-laptop.jpg
abógado,noun,abogado.ogg,lawyer-attorney.svg
hoja,noun,hoja.ogg,leaf-autumn-maple.jpg
pierna,noun,pierna.ogg,leg-long.jpg
limon,noun,limon.ogg,lemon.jpg
mango,noun,mango.ogg,mango-fruit.png
carta,noun,carta.ogg,letter-love-mail.svg
