Word,Part_of_Speech,Audio,Photos
author,noun,author.ogg,writer-typewriter-author-blogging.jpg
baby,noun,baby.ogg,baby.jpg
back,noun,back.ogg,sea-ocean-water-wave-nature-beach.jpg
bag,noun,bag.ogg,bag-classic-leather-messenger.jpg
ball,noun,ball.ogg,beach-ball.svg
banana,noun,banana.ogg,banana.png
band,noun,band.ogg,Lake-Malawi-music-band.jpg
bank,noun,bank.ogg,bank-building.jpg
bar,noun,bar.ogg,alcoholic-beverages-bar.jpg
bathroom,noun,bathroom.ogg,bathroom.jpg
beach,noun,beach.ogg,beach-dominican-republic-caribbean.jpg
beard,noun,beard.ogg,beard-face-man-model-mustache.jpg
bed,noun,bed.ogg,bed.png
bedroom,noun,bedroom.ogg,bedroom.jpg
beef,noun,beef.ogg,meat-beef.jpg
beer,noun,beer.ogg,craft-beer
beverage,noun,beverage.ogg,beach-beverage.jpg
bicycle,noun,bicycle.ogg,old-bicycle.jpg
bill,noun,bill.ogg,pay-bill-restaurant.jpg
bird,noun,bird.ogg,bird-spring-robin.jpg
blood,noun,blood.ogg,blood-cells-red.jpg
boat,noun,boat.ogg,sunrise-boat-rowing.jpg
body,noun,body.ogg,anatomy-man-human-body.jpg
bone,noun,bone.ogg,bone-dog.svg
book,noun,book.ogg,book-old.jpg
bottle,noun,bottle.ogg,water-bottle.jpg
bottom,noun,bottom.ogg,"beer-bottle-bottom.jpg, sea-bottom.jpg"
box,noun,box.ogg,container-open-box-fragile.svg
boy,noun,boy.ogg,cap-boy-smile.jpg
brain,noun,brain.ogg,brain-anatomy.png
bread,noun,bread.ogg,bread-multigrain.jpg
breakfast,noun,breakfast.ogg,breakfast-hotel-buffet.jpg
bridge,noun,bridge.ogg,golden-gate-bridge.jpg
brother,noun,brother.ogg,brothers-family-siblings.jpg
building,noun,building.ogg,appartment-building.jpg
bus,noun,bus.ogg,london-britain-bus-red-city.jpg
cake,noun,,piece-of-cake.jpg
camera,noun,,camera-vintage.jpg
camp,noun,,camping-tent-fire-summer-outdoors.jpg
car ,noun,,car-audi-auto.jpg
card,noun,,"playing-cards.jpg, credit-card.jpg"
cat,noun,,cat-sweet-kitty.jpg
ceiling,noun,,church-ceiling.jpg
cell phone,noun,,iphone-smartphone.jpg
centimeter,noun,,measure-centimeter.jpg
